identifier,name,gwp_kgCO2e_per_kg,source,database_version,region,retrieved_date,uncertainty_class,license,notes,inchikey,gsd
110-54-3,Hexane,0.313,ADEME Base Carbone (element id 20846),2026-06-30T10:17:08.470Z (row last modified 2014-11-05),France continentale,2026-08-26,literature,Licence Ouverte / Open Licence (Etalab),"original value 313 kgCO2e/tonne; converted to kgCO2e/kg by dividing by 1000; PubChem CID 8058; other CAS candidates seen: 92112-69-1, 50981-41-4; ADEME Incertitude 50%",VLKZOEOYAKHREP-UHFFFAOYSA-N,1.6038
1310-73-2,Sodium hydroxide,0.458,ADEME Base Carbone (element id 20667),2026-06-30T10:17:08.470Z (row last modified 2014-11-05),France continentale,2026-08-26,literature,Licence Ouverte / Open Licence (Etalab),"original value 458 kgCO2e/tonne; converted to kgCO2e/kg by dividing by 1000; PubChem CID 14798; other CAS candidates seen: 81133-20-2; ADEME Incertitude 100%; ADEME name 'Soude solide (poudre, granulés)' / 'Solide soda (powder, granule)' queried on PubChem as 'Sodium hydroxide' (standard chemical name substituted for ADEME's literal English translation)",HEMHJVSKTPXQMS-UHFFFAOYSA-M,2.2992
67-56-1,Methanol,0.521,ADEME Base Carbone (element id 20849),2026-06-30T10:17:08.470Z (row last modified 2014-11-05),France continentale,2026-08-26,literature,Licence Ouverte / Open Licence (Etalab),"original value 521 kgCO2e/tonne; converted to kgCO2e/kg by dividing by 1000; PubChem CID 887; other CAS candidates seen: 40431-63-8, 77810-22-1; ADEME Incertitude 50%",OKKJLVBELUTLKV-UHFFFAOYSA-N,1.6038
7647-01-0,Hydrochloric acid,1.199,ADEME Base Carbone (element id 20851),2026-06-30T10:17:08.470Z (row last modified 2014-11-05),France continentale,2026-08-26,literature,Licence Ouverte / Open Licence (Etalab),"original value 1199 kgCO2e/tonne; converted to kgCO2e/kg by dividing by 1000; PubChem CID 313; other CAS candidates seen: 97089-72-0, 1082661-04-8, 152100-50-0, 15417-85-3, 194292-84-7; ADEME Incertitude 50%",VEXZGXHMUGYJMC-UHFFFAOYSA-N,1.6038
7664-38-2,Phosphoric acid,1.424,ADEME Base Carbone (element id 20848),2026-06-30T10:17:08.470Z (row last modified 2014-11-05),France continentale,2026-08-26,literature,Licence Ouverte / Open Licence (Etalab),original value 1424 kgCO2e/tonne; converted to kgCO2e/kg by dividing by 1000; PubChem CID 1004; other CAS candidates seen: 62046-92-8; ADEME Incertitude 50%,NBIIXXVUZAFLBC-UHFFFAOYSA-N,1.6038
7664-93-9,Sulphuric acid,0.148,ADEME Base Carbone (element id 20850),2026-06-30T10:17:08.470Z (row last modified 2014-11-05),France continentale,2026-08-26,literature,Licence Ouverte / Open Licence (Etalab),original value 148 kgCO2e/tonne; converted to kgCO2e/kg by dividing by 1000; PubChem CID 1118; other CAS candidates seen: 12772-98-4; ADEME Incertitude 50%,QAOWNCQODCNURD-UHFFFAOYSA-N,1.6038
7757-82-6,Sodium sulphate,0.473,ADEME Base Carbone (element id 20795),2026-06-30T10:17:08.470Z (row last modified 2014-11-05),France continentale,2026-08-26,literature,Licence Ouverte / Open Licence (Etalab),"original value 473 kgCO2e/tonne; converted to kgCO2e/kg by dividing by 1000; PubChem CID 24436; other CAS candidates seen: 15124-09-1, 13759-07-4; ADEME Incertitude 100%",PMZURENOXWZQFD-UHFFFAOYSA-L,2.2992
