identifier,name,gwp_kgCO2e_per_kg,source,database_version,region,retrieved_date,uncertainty_class,license,notes,inchikey,gsd
630-08-0,Carbon monoxide,1.39468,"US LCI Database (Federal LCA Commons), National_Renewable_Energy_Laboratory/USLCI_Database_Public, process 'Carbon monoxide, at plant' (UUID e0368d96-44a3-3628-8220-e6ae975b0931), LCI_RESULT dataset","process version 00.00.006, last changed 2023-03-31T19:04:04.655Z",Northern America,2026-08-26,background_db,"US LCI Database Project data license (NREL/Alliance/DOE) -- free use/copy/modify/distribute, attribution required","characterized from elementary-flow exchanges using IPCC AR6 GWP-100 (see script docstring for exact table per gas): Methane=0.012866kg, Methane=0.00013093kg, Carbon dioxide=1.0026kg, Nitrous oxide=1.746e-05kg; residual technosphere links not resolved (boundary: waste treatment excluded, cf. examples/route.yaml): 0.0025194 MJ Energy, fossil, unspecified, 0.017184 kg Disposal, solid waste, process, to sanitary landfill, 0.021476 kg Disposal, solid waste, fuel, to municipal incineration; original publication cited by USLCI: THE PLASTICS DIVISION OF THE ACC",UGFAIRIUMAVXCW-UHFFFAOYSA-N,
75-21-8,Ethylene oxide,1.83273,"US LCI Database (Federal LCA Commons), National_Renewable_Energy_Laboratory/USLCI_Database_Public, process 'Ethylene oxide, at plant' (UUID 136cbdd8-ef76-3834-904d-6fce42b2b660), LCI_RESULT dataset","process version 00.00.026, last changed 2023-02-09T21:09:24.888Z",Northern America,2026-08-26,background_db,"US LCI Database Project data license (NREL/Alliance/DOE) -- free use/copy/modify/distribute, attribution required","characterized from elementary-flow exchanges using IPCC AR6 GWP-100 (see script docstring for exact table per gas): Methane=0.00206926kg, Nitrous oxide=0.00017264kg, Carbon dioxide=1.72394kg; original publication cited by USLCI: American Chemistry Council, 2022, Polyether Polyol for Flexible Foam Polyurethanes",IAYPIBMASNFSPL-UHFFFAOYSA-N,
7647-01-0,Hydrochloric acid,1.70034,"US LCI Database (Federal LCA Commons), National_Renewable_Energy_Laboratory/USLCI_Database_Public, process 'Hydrochloric acid, HCl; without water, in 30% solution state; at plant' (UUID 9ee66dd5-dcc9-3e94-9da3-3a7cc6cddeb3), LCI_RESULT dataset","process version 00.00.017, last changed 2026-03-10T01:24:43Z",Northern America,2026-08-27,background_db,"US LCI Database Project data license (NREL/Alliance/DOE) -- free use/copy/modify/distribute, attribution required","characterized from elementary-flow exchanges using IPCC AR6 GWP-100 (see script docstring for exact table per gas): Methane=0.0035087kg, Methane=0.0010945kg, Nitrous oxide=3.8206e-05kg, HFC-134a=8.918e-08kg, Carbon dioxide=1.5526kg; original publication cited by USLCI: THE PLASTICS DIVISION OF THE ACC",VEXZGXHMUGYJMC-UHFFFAOYSA-N,
