identifier,name,gwp_kgCO2e_per_kg,source,database_version,region,retrieved_date,uncertainty_class,license,notes,inchikey,gsd
108-88-3,Toluene,1.7,"ProBas / UBA-GEMIS (process 'Chem-Org\\Toluol-DE-2000', UUID ea2cc0e1-e146-4655-a21a-d15fe63996f1)","ProBas dataset version 02.44.152, GEMIS reference year 2000",DE,2026-08-27,background_db,"Free of charge for all users and uses (ProBas / Umweltbundesamt, attribution required)","GEMIS process 'Chem-Org\\Toluol-DE-2000' (ProBas UUID ea2cc0e1-e146-4655-a21a-d15fe63996f1, dataset version 02.44.152, reference year 2000); LCIA result category 'Treibhauseffekt' (methodology UBA Probas), unit 'kg CO2-Äq.', already aggregated over the full upstream chain (GEMIS 'mit Vorkette'); cited sources: BUWAL 1991, Ullmann 1987, Weissermel 1994, Originaldokumentation von 'Chem-Org\Toluol-DE-2000'; only non-ecoinvent per-kg candidate for this search term",YXFVVABEGXRONW-UHFFFAOYSA-N,
1333-74-0,"Hydrogen (chemical-grade, natural-gas steam reforming)",8.45,"ProBas / UBA-GEMIS (process 'Chem-Anorg\\H2-Stoff-DE-2015', UUID 8c0bb813-e620-456f-9b4b-e755d35f0d4d)","ProBas dataset version 02.44.152, GEMIS reference year 2015",DE,2026-08-27,background_db,"Free of charge for all users and uses (ProBas / Umweltbundesamt, attribution required)","GEMIS process 'Chem-Anorg\\H2-Stoff-DE-2015' (ProBas UUID 8c0bb813-e620-456f-9b4b-e755d35f0d4d, dataset version 02.44.152, reference year 2015); LCIA result category 'Treibhauseffekt' (methodology UBA Probas), unit 'kg CO2-Äq.', already aggregated over the full upstream chain (GEMIS 'mit Vorkette'); cited sources: Originaldokumentation von 'Chem-Anorg\H2-Stoff-DE-2015'; most recent per-kg ('stofflich', i.e. chemical-product-grade, natural-gas steam reforming) vintage among the non-ecoinvent candidates; 'H2-DE-2015'/'H2-DE-2010' publish the same route per TJ ('energetisch') with no stated kg<->TJ conversion in the dataset itself, so per the project's conversion rule they are skipped rather than converted",UFHFLCQGNIYNRP-UHFFFAOYSA-N,
64-17-5,Ethanol (high purity),1.13,"ProBas / UBA-GEMIS (process 'Chem-Org\\Ethanol (hochrein)', UUID d6446ea0-97ea-4c57-ac88-a168cae47b57)","ProBas dataset version 02.44.152, GEMIS reference year 2005",DE,2026-08-27,background_db,"Free of charge for all users and uses (ProBas / Umweltbundesamt, attribution required)","GEMIS process 'Chem-Org\\Ethanol (hochrein)' (ProBas UUID d6446ea0-97ea-4c57-ac88-a168cae47b57, dataset version 02.44.152, reference year 2005); LCIA result category 'Treibhauseffekt' (methodology UBA Probas), unit 'kg CO2-Äq.', already aggregated over the full upstream chain (GEMIS 'mit Vorkette'); cited sources: Römpp, ECN 2005, Originaldokumentation von 'Chem-Org\Ethanol (hochrein)'; only non-ecoinvent per-kg reagent-grade ethanol candidate for this search term (the many other 'Ethanol'-matching hits are fuel-ethanol/biofuel pathway processes, a different product and route, excluded on that basis)",LFQSCWFLJHTTHZ-UHFFFAOYSA-N,
64-19-7,Acetic acid (high purity),2.65,"ProBas / UBA-GEMIS (process 'Chem-Org\\Essigsäure (hochrein)', UUID 8770ea5d-9ef0-4e6b-bb25-55bb510de6e1)","ProBas dataset version 02.44.152, GEMIS reference year 2005",DE,2026-08-27,background_db,"Free of charge for all users and uses (ProBas / Umweltbundesamt, attribution required)","GEMIS process 'Chem-Org\\Essigsäure (hochrein)' (ProBas UUID 8770ea5d-9ef0-4e6b-bb25-55bb510de6e1, dataset version 02.44.152, reference year 2005); LCIA result category 'Treibhauseffekt' (methodology UBA Probas), unit 'kg CO2-Äq.', already aggregated over the full upstream chain (GEMIS 'mit Vorkette'); cited sources: Ullmann 1985a, ECN 2005, Originaldokumentation von 'Chem-Org\Essigsäure (hochrein)'; preferred over 'Essigsäure-DE-2000' (also non-ecoinvent, also per-kg): the 'hochrein' variant is the more recent vintage (2005 vs 2000) and cites more literature sources (Ullmann 1985a, ECN 2005) rather than only 'Originaldokumentation'",QTBSBXVTEAMEQO-UHFFFAOYSA-N,
67-63-0,"Isopropanol (2-propanol, high purity)",1.7,"ProBas / UBA-GEMIS (process 'Chem-Org\\2-Propanol (hochrein)', UUID 47d18bdf-08e2-4f7e-8e27-c0942f308699)","ProBas dataset version 02.44.152, GEMIS reference year 2005",DE,2026-08-27,background_db,"Free of charge for all users and uses (ProBas / Umweltbundesamt, attribution required)","GEMIS process 'Chem-Org\\2-Propanol (hochrein)' (ProBas UUID 47d18bdf-08e2-4f7e-8e27-c0942f308699, dataset version 02.44.152, reference year 2005); LCIA result category 'Treibhauseffekt' (methodology UBA Probas), unit 'kg CO2-Äq.', already aggregated over the full upstream chain (GEMIS 'mit Vorkette'); cited sources: ECN 2005, Originaldokumentation von 'Chem-Org\2-Propanol (hochrein)'; only non-ecoinvent per-kg candidate for this search term",KFZMGEQAYNKOFK-UHFFFAOYSA-N,
7664-41-7,Ammonia,2.02,"ProBas / UBA-GEMIS (process 'Chem-Anorg\\Ammoniak-DE-2020', UUID 6898dda3-09ec-41bf-8069-62a613f60d2f)","ProBas dataset version 02.44.152, GEMIS reference year 2020",DE,2026-08-27,background_db,"Free of charge for all users and uses (ProBas / Umweltbundesamt, attribution required)","GEMIS process 'Chem-Anorg\\Ammoniak-DE-2020' (ProBas UUID 6898dda3-09ec-41bf-8069-62a613f60d2f, dataset version 02.44.152, reference year 2020); LCIA result category 'Treibhauseffekt' (methodology UBA Probas), unit 'kg CO2-Äq.', already aggregated over the full upstream chain (GEMIS 'mit Vorkette'); cited sources: Ullmann 1985, ESU/PSI/BEW 1996, Originaldokumentation von 'Chem-Anorg\Ammoniak-DE-2020'; most recent *non-forecast* per-kg vintage among the non-ecoinvent candidates (DE-2000/2005/2010/2015 are older vintages of the same process; DE-2030/2050 are prospective-scenario projections, not current production; the plain 'Ammoniak' process is per-tonne and cites 'Ecoinvent 2.0' among its many reference sources, so it is excluded by both the per-kg filter and the commercial-source filter)",QGZKDVFQNNGYKY-UHFFFAOYSA-N,
7732-18-5,Water (distilled),0.571,"ProBas / UBA-GEMIS (process 'Chem-anorg\\destilliertes Wasser', UUID 41441a82-64ab-4b21-a67d-b69d2609e158)","ProBas dataset version 02.44.152, GEMIS reference year 2000",DE,2026-08-27,background_db,"Free of charge for all users and uses (ProBas / Umweltbundesamt, attribution required)","GEMIS process 'Chem-anorg\\destilliertes Wasser' (ProBas UUID 41441a82-64ab-4b21-a67d-b69d2609e158, dataset version 02.44.152, reference year 2000); LCIA result category 'Treibhauseffekt' (methodology UBA Probas), unit 'kg CO2-Äq.', already aggregated over the full upstream chain (GEMIS 'mit Vorkette'); cited sources: ECN 2005, Originaldokumentation von 'Chem-anorg\destilliertes Wasser'; only non-ecoinvent per-kg candidate; distilled water, not deionised, but chemically the same substance (CAS 7732-18-5) -- flagged as an approximation in notes; process models distilled water, not deionised water; both are pure H2O (CAS 7732-18-5) so the identifier match is exact, but the production route (distillation vs. ion exchange) differs",XLYOFNOQVPJJNP-UHFFFAOYSA-N,
