chebi_id,name,n_reactions,share_of_reactions,smiles
CHEBI:58343," adenosine 3',5'-bisphosphate",167,0.008999,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1O
CHEBI:57305, glycine,152,0.008191,[NH3+]CC(=O)[O-]
CHEBI:66914, UDP-alpha-D-galactose,152,0.008191,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
CHEBI:29969,,151,0.008137,*N[C@@H](CCCC[NH3+])C(*)=O
CHEBI:16842, formaldehyde,150,0.008083,C=O
CHEBI:17996, chloride,150,0.008083,[Cl-]
CHEBI:28868, a fatty acid,135,0.007274,*C(=O)[O-]
CHEBI:29950,,134,0.007221,*N[C@@H](CS)C(*)=O
CHEBI:57844, L-methionine,134,0.007221,CSCC[C@H]([NH3+])C(=O)[O-]
CHEBI:58339, 3'-phosphoadenylyl sulfate,133,0.007167,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OS(=O)(=O)[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1O
CHEBI:57972, L-alanine,129,0.006951,C[C@H]([NH3+])C(=O)[O-]
CHEBI:57812, CMP-N-acetyl-beta-neuraminate,128,0.006897,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)O[C@](OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@H](O)[C@@H]2O)(C(=O)[O-])C[C@@H]1O
CHEBI:57379, hexadecanoyl-CoA,119,0.006412,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
CHEBI:4167, D-glucose,117,0.006305,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
CHEBI:57387, (9Z)-octadecenoyl-CoA,116,0.006251,CCCCCCCC/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
CHEBI:30823, (9Z)-octadecenoate,114,0.006143,CCCCCCCC/C=C\CCCCCCCC(=O)[O-]
CHEBI:58052, UDP-alpha-D-glucuronate,109,0.005873,O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
CHEBI:57925, glutathione,105,0.005658,[NH3+][C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-]
CHEBI:57705, UDP-N-acetyl-alpha-D-glucosamine,102,0.005496,CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
CHEBI:15740, formate,100,0.005389,O=C[O-]
CHEBI:37565, GTP,100,0.005389,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
CHEBI:7896, hexadecanoate,94,0.005065,CCCCCCCCCCCCCCCC(=O)[O-]
CHEBI:16189, sulfate,93,0.005011,O=S(=O)([O-])[O-]
CHEBI:36655, glyoxylate,90,0.004850,O=CC(=O)[O-]
CHEBI:37563, CTP,86,0.004634,Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1
CHEBI:33384, L-serine,85,0.004580,[NH3+][C@@H](CO)C(=O)[O-]
CHEBI:17815," a 1,2-diacyl-sn-glycerol",83,0.004472,[1*]C(=O)OC[C@H](CO)OC([2*])=O
CHEBI:32395," (5Z,8Z,11Z,14Z)-eicosatetraenoate",83,0.004472,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)[O-]
CHEBI:57643," a 1,2-diacyl-sn-glycero-3-phosphocholine",83,0.004472,[1*]C(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC([2*])=O
CHEBI:16301, nitrite,81,0.004365,O=N[O-]
CHEBI:32682, L-arginine,81,0.004365,NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)[O-]
CHEBI:57623, dimethylallyl diphosphate,80,0.004311,CC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]
CHEBI:58359, L-glutamine,80,0.004311,NC(=O)CC[C@H]([NH3+])C(=O)[O-]
CHEBI:57273, GDP-beta-L-fucose,79,0.004257,C[C@@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O
CHEBI:58095, L-phenylalanine,79,0.004257,[NH3+][C@@H](Cc1ccccc1)C(=O)[O-]
CHEBI:78442,,79,0.004257,*P(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
CHEBI:17319, 5'-deoxyadenosine,78,0.004203,C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
CHEBI:29991, L-aspartate,77,0.004149,[NH3+][C@@H](CC(=O)[O-])C(=O)[O-]
CHEBI:72998, 1-hexadecanoyl-sn-glycero-3-phosphocholine,77,0.004149,CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[N+](C)(C)C
